ROW_ID,BANK_ID,COUNTRY_CODE,DATE_ID,INDICATOR_ID,VALUE,SOURCE,REFERENCE_DATE
1,62,AT,1,1,0.154182,RISK_DASHBOARD,2018-03-31
2,62,AT,2,1,0.1846,RISK_DASHBOARD,2018-06-30
3,62,AT,3,1,0.132951,RISK_DASHBOARD,2018-09-30
4,62,AT,4,1,0.155706,RISK_DASHBOARD,2018-12-31
5,62,AT,5,1,0.188116,RISK_DASHBOARD,2019-03-31
6,62,AT,6,1,0.192709,RISK_DASHBOARD,2019-06-30
7,62,AT,7,1,0.147296,RISK_DASHBOARD,2019-09-30
8,62,AT,8,1,0.176989,RISK_DASHBOARD,2019-12-31
9,62,AT,9,1,0.177374,RISK_DASHBOARD,2020-03-31
10,62,AT,10,1,0.199951,RISK_DASHBOARD,2020-06-30
11,62,AT,11,1,0.153287,RISK_DASHBOARD,2020-09-30
12,62,AT,12,1,0.19614,RISK_DASHBOARD,2020-12-31
13,62,AT,13,1,0.149803,RISK_DASHBOARD,2021-03-31
14,62,AT,14,1,0.152471,RISK_DASHBOARD,2021-06-30
15,62,AT,15,1,0.208764,RISK_DASHBOARD,2021-09-30
16,62,AT,16,1,0.21077,RISK_DASHBOARD,2021-12-31
17,62,AT,17,1,0.159849,RISK_DASHBOARD,2022-03-31
18,62,AT,18,1,0.186756,RISK_DASHBOARD,2022-06-30
19,62,AT,19,1,0.169482,RISK_DASHBOARD,2022-09-30
20,62,AT,20,1,0.18721,RISK_DASHBOARD,2022-12-31
21,62,AT,21,1,0.194962,RISK_DASHBOARD,2023-03-31
22,62,AT,22,1,0.198443,RISK_DASHBOARD,2023-06-30
23,62,AT,23,1,0.183359,RISK_DASHBOARD,2023-09-30
24,62,AT,24,1,0.176387,RISK_DASHBOARD,2023-12-31
25,62,AT,25,1,0.199368,RISK_DASHBOARD,2024-03-31
26,62,AT,26,1,0.220858,RISK_DASHBOARD,2024-06-30
27,62,AT,27,1,0.217651,RISK_DASHBOARD,2024-09-30
28,62,AT,28,1,0.226384,RISK_DASHBOARD,2024-12-31
29,63,BE,1,1,0.142247,RISK_DASHBOARD,2018-03-31
30,63,BE,2,1,0.144551,RISK_DASHBOARD,2018-06-30
31,63,BE,3,1,0.14187,RISK_DASHBOARD,2018-09-30
32,63,BE,4,1,0.164001,RISK_DASHBOARD,2018-12-31
33,63,BE,5,1,0.12329,RISK_DASHBOARD,2019-03-31
